company_name,year_month,length,first_senti_avg,last_senti_avg,senti_improve,verify_thread
AirAsiaSupport,2017-11,5.006622516556291,1.8713694418164604,1.9229245506149473,0.051555108798486286,604
AirAsiaSupport,2017-12,4.220338983050848,1.8053672316384177,1.9434826472962068,0.13811541565778856,59
AirbnbHelp,2017-08,4.0,2.0,2.0,0.0,1
AirbnbHelp,2017-09,9.434782608695652,2.0217391304347827,1.7826086956521738,-0.23913043478260865,23
AirbnbHelp,2017-10,4.671195652173913,1.7446040372670808,1.923414855072464,0.17881081780538308,368
AirbnbHelp,2017-11,4.888888888888889,1.7391345427059712,1.8917989417989418,0.1526643990929705,126
AirbnbHelp,2017-12,3.9603960396039604,1.8200612918434698,1.8900165016501653,0.06995520980669498,101
AlaskaAir,2017-09,3.5,1.625,2.5,0.875,2
AlaskaAir,2017-10,4.232456140350878,1.8918128654970763,2.0423245614035097,0.15051169590643276,456
AlaskaAir,2017-11,4.4655172413793105,1.8331896551724136,2.022988505747126,0.18979885057471277,116
AlaskaAir,2017-12,4.023809523809524,1.755952380952381,2.032142857142857,0.2761904761904762,42
AldiUK,2017-02,4.0,2.5,2.2,-0.2999999999999998,1
AldiUK,2017-09,4.0,1.0,2.0,1.0,1
AldiUK,2017-10,3.4473684210526314,1.9155701754385965,2.023574561403509,0.10800438596491228,152
AldiUK,2017-11,3.4345238095238093,1.8344246031746034,1.9649801587301585,0.13055555555555556,168
AldiUK,2017-12,3.253012048192771,1.8576305220883527,2.1315261044176705,0.2738955823293171,83
AmazonHelp,2015-12,3.0,1.5,1.5,0.0,1
AmazonHelp,2016-04,7.5,1.75,1.25,-0.5,2
AmazonHelp,2016-11,4.0,2.125,1.25,-0.875,4
AmazonHelp,2017-02,6.0,2.0,1.5,-0.5,2
AmazonHelp,2017-04,3.0,2.0,1.5,-0.5,1
AmazonHelp,2017-05,7.0,2.0,3.0,1.0,1
AmazonHelp,2017-06,7.0,1.75,1.25,-0.5,2
AmazonHelp,2017-07,12.428571428571429,1.2857142857142858,1.5714285714285714,0.28571428571428586,7
AmazonHelp,2017-08,23.48148148148148,2.1203703703703702,1.5191358024691357,-0.6012345679012344,27
AmazonHelp,2017-09,11.63519313304721,1.553648068669528,1.693383404864092,0.13973533619456366,233
AmazonHelp,2017-10,5.68484172360898,1.7463160425700552,1.814664668177083,0.06834862560702763,14342
AmazonHelp,2017-11,5.446885813148789,1.7590491294557056,1.8317885291371454,0.0727393996814412,5780
AmazonHelp,2017-12,4.918582375478927,1.7643428658754359,1.849308020452659,0.08496515457722356,3132
AmericanAir,2011-06,4.0,3.0,2.0,-1.0,1
AmericanAir,2015-04,3.0,2.4,2.5,0.10000000000000009,2
AmericanAir,2016-08,3.0,1.0,2.0,1.0,1
AmericanAir,2017-04,4.0,2.5,1.0,-1.5,1
AmericanAir,2017-06,5.0,1.3333333333333333,2.0,0.6666666666666667,1
AmericanAir,2017-07,3.0,1.5,2.0,0.5,1
AmericanAir,2017-08,4.5,1.8,1.6666666666666667,-0.13333333333333333,6
AmericanAir,2017-09,5.4375,1.515625,1.6041666666666665,0.08854166666666667,16
AmericanAir,2017-10,4.190575916230366,1.7579191944375172,1.8644357184409548,0.10651652400343525,2865
AmericanAir,2017-11,4.541666666666667,1.8224158346134136,1.9281586021505381,0.10574276753712246,744
AmericanAir,2017-12,4.045751633986928,1.7848895113601004,1.8957827575474637,0.11089324618736385,459
AppleSupport,2016-03,3.0,1.6666666666666667,2.0,0.33333333333333326,1
AppleSupport,2017-01,15.0,1.25,2.25,1.0,2
AppleSupport,2017-04,8.0,2.3333333333333335,1.6666666666666667,-0.6666666666666667,1
AppleSupport,2017-05,3.0,1.0,2.0,1.0,1
AppleSupport,2017-07,3.0,2.0,2.0,0.0,1
AppleSupport,2017-09,4.381818181818182,1.7242424242424241,1.678787878787879,-0.045454545454545456,55
AppleSupport,2017-10,4.338243520417676,1.7335206840521047,1.8423270557523774,0.10880637170027448,5363
AppleSupport,2017-11,4.519088016967126,1.7531615580130944,1.8684220825127504,0.11526052449965501,1886
AppleSupport,2017-12,4.185576077396658,1.7457930225740255,1.880165012354986,0.13437198978096074,1137
ArbysCares,2017-09,3.6458333333333335,1.628472222222222,1.9253472222222223,0.296875,48
ArbysCares,2017-10,3.8819875776397517,1.7474120082815734,1.9288819875776397,0.18146997929606626,161
ArbysCares,2017-11,3.7586206896551726,1.7339080459770115,1.963218390804598,0.22931034482758622,29
ArbysCares,2017-12,3.1666666666666665,1.9166666666666667,1.7777777777777777,-0.13888888888888892,6
ArgosHelpers,2017-09,7.5,2.0,1.5,-0.5,2
ArgosHelpers,2017-10,4.801909307875895,1.727525855210819,1.8793953858392998,0.15186953062848052,419
ArgosHelpers,2017-11,4.71496062992126,1.7517322834645672,1.968477690288714,0.21674540682414697,635
ArgosHelpers,2017-12,4.065359477124183,1.6377995642701524,1.9250544662309366,0.28725490196078424,153
AskAmex,2016-05,3.0,2.0,2.5,0.5,1
AskAmex,2017-04,9.0,1.75,2.0,0.25,1
AskAmex,2017-07,4.0,2.0,1.0,-1.0,2
AskAmex,2017-08,5.0,1.5,1.7,0.2,5
AskAmex,2017-09,6.466666666666667,1.6666666666666667,1.8777777777777775,0.2111111111111112,15
AskAmex,2017-10,5.289729729729729,1.7715675675675688,1.9429549549549554,0.17138738738738749,925
AskAmex,2017-11,5.095238095238095,1.7397435897435891,1.9257282400139548,0.18598465027036457,273
